id,title,description,availability,condition,price,sale_price,link,image_link,brand,gtin,mpn,quantity_to_sell_on_facebook
29958,Match KIT Collection - España V2,"Kit oficial ZEUS 2.0 – Gloves of Nations compuesto por camiseta + pantalón corto a juego. 
 Colección exclusiva y edición limitada inspirada en las grandes naciones del fútbol mundial y en la atmósfera del Mundial 2026. 
 Diseñada para jugadores y porteros que quieren representar sus colores con identidad, rendimiento y estilo dentro del campo.  EDICIÓN LIMITADA",out of stock,new,29.90 EUR,,https://n1gloves.com/es/inicio/29958-match-kit-collection-espana-v2,https://n1gloves.com/26433-large_default/match-kit-collection-espana-v2.jpg,N1 Goalkeeper,,CL-FOOWC2-1117,0
29959,Match KIT Collection - Portugal,"Kit oficial ZEUS 2.0 – Gloves of Nations compuesto por camiseta + pantalón corto a juego. 
 Colección exclusiva y edición limitada inspirada en las grandes naciones del fútbol mundial y en la atmósfera del Mundial 2026. 
 Diseñada para jugadores y porteros que quieren representar sus colores con identidad, rendimiento y estilo dentro del campo.  EDICIÓN LIMITADA",in stock,new,29.90 EUR,,https://n1gloves.com/es/inicio/29959-match-kit-collection-portugal,https://n1gloves.com/26515-large_default/match-kit-collection-portugal.jpg,N1 Goalkeeper,,CL-FOOWC2-1113,12
29961,Match KIT Collection - Alemania,"Kit oficial ZEUS 2.0 – Gloves of Nations compuesto por camiseta + pantalón corto a juego. 
 Colección exclusiva y edición limitada inspirada en las grandes naciones del fútbol mundial y en la atmósfera del Mundial 2026. 
 Diseñada para jugadores y porteros que quieren representar sus colores con identidad, rendimiento y estilo dentro del campo.  EDICIÓN LIMITADA",in stock,new,29.90 EUR,,https://n1gloves.com/es/inicio/29961-match-kit-collection-alemania,https://n1gloves.com/26489-large_default/match-kit-collection-alemania.jpg,N1 Goalkeeper,,CL-FOOWC2-1114,11
29962,Match KIT Collection - Brasil V2,"Kit oficial ZEUS 2.0 – Gloves of Nations compuesto por camiseta + pantalón corto a juego. 
 Colección exclusiva y edición limitada inspirada en las grandes naciones del fútbol mundial y en la atmósfera del Mundial 2026. 
 Diseñada para jugadores y porteros que quieren representar sus colores con identidad, rendimiento y estilo dentro del campo.  EDICIÓN LIMITADA",in stock,new,29.90 EUR,,https://n1gloves.com/es/inicio/29962-match-kit-collection-brasil-v2,https://n1gloves.com/26468-large_default/match-kit-collection-brasil-v2.jpg,N1 Goalkeeper,,CL-FOOWC2-1103,12
29963,Match KIT Collection - Colombia,"Kit oficial ZEUS 2.0 – Gloves of Nations compuesto por camiseta + pantalón corto a juego. 
 Colección exclusiva y edición limitada inspirada en las grandes naciones del fútbol mundial y en la atmósfera del Mundial 2026. 
 Diseñada para jugadores y porteros que quieren representar sus colores con identidad, rendimiento y estilo dentro del campo.  EDICIÓN LIMITADA",in stock,new,29.90 EUR,,https://n1gloves.com/es/inicio/29963-match-kit-collection-colombia,https://n1gloves.com/26419-large_default/match-kit-collection-colombia.jpg,N1 Goalkeeper,,CL-FOOWC2-1118,10
29966,Match KIT Collection - Francia,"Kit oficial ZEUS 2.0 – Gloves of Nations compuesto por camiseta + pantalón corto a juego. 
 Colección exclusiva y edición limitada inspirada en las grandes naciones del fútbol mundial y en la atmósfera del Mundial 2026. 
 Diseñada para jugadores y porteros que quieren representar sus colores con identidad, rendimiento y estilo dentro del campo.  EDICIÓN LIMITADA",in stock,new,29.90 EUR,,https://n1gloves.com/es/inicio/29966-match-kit-collection-francia,https://n1gloves.com/26464-large_default/match-kit-collection-francia.jpg,N1 Goalkeeper,,CL-FOOWC2-1108,12
29967,Match KIT Collection - Inglaterra,"Kit oficial ZEUS 2.0 – Gloves of Nations compuesto por camiseta + pantalón corto a juego. 
 Colección exclusiva y edición limitada inspirada en las grandes naciones del fútbol mundial y en la atmósfera del Mundial 2026. 
 Diseñada para jugadores y porteros que quieren representar sus colores con identidad, rendimiento y estilo dentro del campo.  EDICIÓN LIMITADA",in stock,new,29.90 EUR,,https://n1gloves.com/es/inicio/29967-match-kit-collection-inglaterra,https://n1gloves.com/26510-large_default/match-kit-collection-inglaterra.jpg,N1 Goalkeeper,,CL-FOOWC2-1109,12
29968,Match KIT Collection - Japón,"Kit oficial ZEUS 2.0 – Gloves of Nations compuesto por camiseta + pantalón corto a juego. 
 Colección exclusiva y edición limitada inspirada en las grandes naciones del fútbol mundial y en la atmósfera del Mundial 2026. 
 Diseñada para jugadores y porteros que quieren representar sus colores con identidad, rendimiento y estilo dentro del campo.  EDICIÓN LIMITADA",in stock,new,29.90 EUR,,https://n1gloves.com/es/inicio/29968-match-kit-collection-japon,https://n1gloves.com/26437-large_default/match-kit-collection-japon.jpg,N1 Goalkeeper,,CL-FOOWC2-1111,11
29969,Match KIT Collection - Holanda,"Kit oficial ZEUS 2.0 – Gloves of Nations compuesto por camiseta + pantalón corto a juego. 
 Colección exclusiva y edición limitada inspirada en las grandes naciones del fútbol mundial y en la atmósfera del Mundial 2026. 
 Diseñada para jugadores y porteros que quieren representar sus colores con identidad, rendimiento y estilo dentro del campo.  EDICIÓN LIMITADA",in stock,new,29.90 EUR,,https://n1gloves.com/es/inicio/29969-match-kit-collection-holanda,https://n1gloves.com/26496-large_default/match-kit-collection-holanda.jpg,N1 Goalkeeper,,CL-FOOWC2-1115,8
29971,Match KIT Collection - Bélgica,"Kit oficial ZEUS 2.0 – Gloves of Nations compuesto por camiseta + pantalón corto a juego. 
 Colección exclusiva y edición limitada inspirada en las grandes naciones del fútbol mundial y en la atmósfera del Mundial 2026. 
 Diseñada para jugadores y porteros que quieren representar sus colores con identidad, rendimiento y estilo dentro del campo.  EDICIÓN LIMITADA",in stock,new,29.90 EUR,,https://n1gloves.com/es/inicio/29971-match-kit-collection-belgica,https://n1gloves.com/26466-large_default/match-kit-collection-belgica.jpg,N1 Goalkeeper,,CL-FOOWC2-1107,12
