id,title,description,availability,condition,price,sale_price,link,image_link,brand,gtin,mpn,quantity_to_sell_on_facebook
28493,Elbow Compressiva PROTEK,"Cotoveleiras compressivas de alto desempenho desenvolvidas especificamente para guarda-redes de futebol. 
 Projetadas para proteger uma das zonas mais expostas nas ações do guarda-redes, incorporam um painel de absorção de impactos estrategicamente posicionado no cotovelo, reduzindo a intensidade dos choques contra relvado sintético e superfícies duras.",in stock,new,14.90 EUR,,https://n1gloves.com/pt/inicio/28493-elbow-compressiva-protek,https://n1gloves.com/24596-large_default/elbow-compressiva-protek.jpg,N1 Goalkeeper,,AC-ELBBLA-1030,51
28494,Joelheira Compressiva PROTEK,"Joelheira compressiva de alto desempenho desenvolvida especificamente para guarda-redes de futebol. 
  
 Projetada para proteger uma das zonas mais expostas durante defesas, mergulhos e contacto com o solo, incorpora um painel de absorção de impactos de alta densidade que reduz a intensidade do choque contra relvado sintético e superfícies duras.",in stock,new,14.90 EUR,,https://n1gloves.com/pt/inicio/28494-joelheira-compressiva-protek,https://n1gloves.com/24602-large_default/joelheira-compressiva-protek.jpg,N1 Goalkeeper,,AC-KNEBLA-1029,47
28495,Porta Caneleiras N1,"Suporte compressivo para caneleiras desenvolvido para manter a caneleira fixa sem necessidade de fita adesiva. 
  
 Fabricado em tecido elástico de alto desempenho, incorpora um  bolso externo frontal  onde a caneleira é inserida, garantindo que permaneça estável na sua posição natural durante todo o treino ou competição.",in stock,new,14.90 EUR,,https://n1gloves.com/pt/inicio/28495-porta-caneleiras-n1,https://n1gloves.com/24611-large_default/porta-caneleiras-n1.jpg,N1 Goalkeeper,,AC-SHIBLA-1028,68
28497,Gorro N1,"Gorro de treino desenvolvido para guarda-redes que não param quando a temperatura desce. 
  
 Treinar no inverno ou à noite exige mais do que atitude. Manter a temperatura corporal é fundamental para preservar a concentração, a ativação muscular e o rendimento entre os postes.",in stock,new,12.90 EUR,,https://n1gloves.com/pt/inicio/28497-gorro-n1,https://n1gloves.com/24617-large_default/gorro-n1.jpg,N1 Goalkeeper,,AC-BEABLA-1049,21
28501,Gola Térmica N1,"Gola de treino desenvolvida para guarda-redes que rendem mesmo nas condições mais exigentes. 
 O frio afeta diretamente a ativação muscular e a concentração. Manter a zona cervical protegida ajuda a conservar a temperatura corporal e a manter o rendimento máximo em treinos noturnos ou em climas frios. 
  
 O tecido técnico proporciona isolamento térmico leve sem criar sensação de peso ou limitar os movimentos.",in stock,new,12.90 EUR,,https://n1gloves.com/pt/inicio/28501-gola-termica-n1,https://n1gloves.com/24632-large_default/gola-termica-n1.jpg,N1 Goalkeeper,,AC-THEBLA-1025,29
28506,Gym Sack Black Neon,"Chega aos teus jogos e treinos com tudo o que precisas. 
  
 A  Gym Sack N1  é espaçosa, leve e resistente — perfeita para guardar luvas, chuteiras e todo o teu material desportivo. O seu design prático permite organizar o equipamento de forma simples e eficiente. 
  Composição:  100% Poliéster  Leve. Resistente. Funcional.",in stock,new,9.90 EUR,,https://n1gloves.com/pt/inicio/28506-gym-sack-black-neon-8435768047455,https://n1gloves.com/24639-large_default/gym-sack-black-neon.jpg,N1 Goalkeeper,8435768047455,AC-0232,10
28507,Gym Sack Neon,"Chega aos teus jogos e treinos com tudo o que precisas. 
  
 A  Gym Sack N1  é espaçosa, leve e resistente — perfeita para guardar luvas, chuteiras e todo o teu material desportivo. O seu design prático permite organizar o equipamento de forma simples e eficiente. 
  Composição:  100% Poliéster  Leve. Resistente. Funcional.",in stock,new,9.90 EUR,,https://n1gloves.com/pt/inicio/28507-gym-sack-neon-8435768047493,https://n1gloves.com/24643-large_default/gym-sack-neon.jpg,N1 Goalkeeper,8435768047493,AC-0236,12
28508,Gym Sack White,"Chega aos teus jogos e treinos com tudo o que precisas. 
  
 A  Gym Sack N1  é espaçosa, leve e resistente — perfeita para guardar luvas, chuteiras e todo o teu material desportivo. O seu design prático permite organizar o equipamento de forma simples e eficiente. 
  Composição:  100% Poliéster  Leve. Resistente. Funcional.",in stock,new,9.90 EUR,,https://n1gloves.com/pt/inicio/28508-gym-sack-white-8435768047462,https://n1gloves.com/24647-large_default/gym-sack-white.jpg,N1 Goalkeeper,8435768047462,AC-0233,11
28509,Gym Sack Orange,"Chega aos teus jogos e treinos com tudo o que precisas. 
  
 A  Gym Sack N1  é espaçosa, leve e resistente — perfeita para guardar luvas, chuteiras e todo o teu material desportivo. O seu design prático permite organizar o equipamento de forma simples e eficiente. 
  Composição:  100% Poliéster  Leve. Resistente. Funcional.",in stock,new,9.90 EUR,,https://n1gloves.com/pt/inicio/28509-gym-sack-orange-8435768047509,https://n1gloves.com/24652-large_default/gym-sack-orange.jpg,N1 Goalkeeper,8435768047509,AC-0237,12
28510,Gym Sack Green,"Chega aos teus jogos e treinos com tudo o que precisas. 
  
 A  Gym Sack N1  é espaçosa, leve e resistente — perfeita para guardar luvas, chuteiras e todo o teu material desportivo. O seu design prático permite organizar o equipamento de forma simples e eficiente. 
  Composição:  100% Poliéster  Leve. Resistente. Funcional.",in stock,new,9.90 EUR,,https://n1gloves.com/pt/inicio/28510-gym-sack-green-8435768047516,https://n1gloves.com/24656-large_default/gym-sack-green.jpg,N1 Goalkeeper,8435768047516,AC-0238,12
28511,Gym Sack Pink,"Chega aos teus jogos e treinos com tudo o que precisas. 
  
 A  Gym Sack N1  é espaçosa, leve e resistente — perfeita para guardar luvas, chuteiras e todo o teu material desportivo. O seu design prático permite organizar o equipamento de forma simples e eficiente. 
  Composição:  100% Poliéster  Leve. Resistente. Funcional.",in stock,new,9.90 EUR,,https://n1gloves.com/pt/inicio/28511-gym-sack-pink-8435768047486,https://n1gloves.com/24659-large_default/gym-sack-pink.jpg,N1 Goalkeeper,8435768047486,AC-0235,12
28512,Gym Sack Grey,"Chega aos teus jogos e treinos com tudo o que precisas. 
  
 A  Gym Sack N1  é espaçosa, leve e resistente — perfeita para guardar luvas, chuteiras e todo o teu material desportivo. O seu design prático permite organizar o equipamento de forma simples e eficiente. 
  Composição:  100% Poliéster  Leve. Resistente. Funcional.",in stock,new,9.90 EUR,,https://n1gloves.com/pt/inicio/28512-gym-sack-grey-8435768047479,https://n1gloves.com/24672-large_default/gym-sack-grey.jpg,N1 Goalkeeper,8435768047479,AC-0234,10
28513,Mochila de Treino N1,"A  Mochila N1 Backpack  foi desenvolvida para acompanhar-te em todos os treinos, jogos e deslocações.   
 A sua distribuição inteligente permite transportar todo o teu equipamento de forma organizada, graças ao amplo compartimento principal, bolso frontal de acesso rápido e bolsos laterais em rede para os objetos que precisas ter sempre à mão. 
 Leve, resistente e confortável, é a mochila ideal para guarda-redes e jogadores que precisam de ter todo o material sempre pronto. 
  Compartimentos:  
 
 1 compartimento principal de grande capacidade. 
 1 bolso frontal com fecho. 
 2 bolsos laterais em rede. 
 
  Material:  Poliéster de alta resistência. 
  
  Cor:  Preto.",in stock,new,34.90 EUR,,https://n1gloves.com/pt/inicio/28513-mochila-de-treino-n1-8435768021585,https://n1gloves.com/24668-large_default/mochila-de-treino-n1.jpg,N1 Goalkeeper,8435768021585,AC-0018,41
28515,Macuto N1 Pro,Macuto N1 Pro,in stock,new,39.90 EUR,,https://n1gloves.com/pt/inicio/28515-macuto-n1-pro-8435768021592,https://n1gloves.com/24677-large_default/macuto-n1-pro.jpg,N1 Goalkeeper,8435768021592,AC-0019,48
28983,N1 Grip Socks,"Meias técnicas antiderrapantes com grip. 
 Mantêm o pé firme dentro da chuteira, evitando deslizamentos internos e melhorando a estabilidade em cada ação. 
 Ideais para jogadores que procuram maior controlo, precisão e segurança no jogo. 
  
 Composição: 40% Algodão/ 40% Nylon/ 10% Elastano/ 10% Poliéster Zonas de grip: 100% PVC. 
  TAMANHOS  
  Tamanho S  
 
 
 EU: 35–38 
 
 
 US: 3–6 
 
 
  Tamanho M  
 
 
 EU: 39–42 
 
 
 US: 7–9 
 
 
  Tamanho L  
 
 
 EU: 43–46 
 
 
 US: 10–12",in stock,new,12.90 EUR,,https://n1gloves.com/pt/inicio/28983-n1-grip-socks,https://n1gloves.com/25159-large_default/n1-grip-socks.jpg,N1 Goalkeeper,,AC-GRIWHI-0138,799
28992,N1 Grip Socks - Black,"Meias técnicas antiderrapantes com grip. 
 Mantêm o pé firme dentro da chuteira, evitando deslizamentos internos e melhorando a estabilidade em cada ação. 
 Ideais para jogadores que procuram maior controlo, precisão e segurança no jogo. 
  
 Composição: 40% Algodão/ 40% Nylon/ 10% Elastano/ 10% Poliéster Zonas de grip: 100% PVC. 
  TAMANHOS  
  Tamanho S  
 
 
 EU: 35–38 
 
 
 US: 3–6 
 
 
  Tamanho M  
 
 
 EU: 39–42 
 
 
 US: 7–9 
 
 
  Tamanho L  
 
 
 EU: 43–46 
 
 
 US: 10–12",in stock,new,12.90 EUR,,https://n1gloves.com/pt/inicio/28992-n1-grip-socks-black,https://n1gloves.com/25180-large_default/n1-grip-socks-black.jpg,N1 Goalkeeper,,AC-GRIBLA-0139,961
28993,N1 Grip Socks - Yellow,"Meias técnicas antiderrapantes com grip. 
 Mantêm o pé firme dentro da chuteira, evitando deslizamentos internos e melhorando a estabilidade em cada ação. 
 Ideais para jogadores que procuram maior controlo, precisão e segurança no jogo. 
  
 Composição: 40% Algodão/ 40% Nylon/ 10% Elastano/ 10% Poliéster Zonas de grip: 100% PVC. 
  TAMANHOS  
  Tamanho S  
 
 
 EU: 35–38 
 
 
 US: 3–6 
 
 
  Tamanho M  
 
 
 EU: 39–42 
 
 
 US: 7–9 
 
 
  Tamanho L  
 
 
 EU: 43–46 
 
 
 US: 10–12",in stock,new,12.90 EUR,,https://n1gloves.com/pt/inicio/28993-n1-grip-socks-yellow,https://n1gloves.com/25188-large_default/n1-grip-socks-yellow.jpg,N1 Goalkeeper,,AC-GRIYEL-0497,301
